Adriana Parque;25.00
Alto da Bela Vista;20.00
Alvorada;20.00
Anápolis City;20.00
Andracel Center;20.00
Anexo Antônio Fernandes;25.00
Anexo Bom Sucesso;20.00
Anexo Frei Eustáquio;20.00
Anexo Itamaraty;20.00
Anexo Maracananzinho;20.00
Antônio Fernandes;25.00
Área Rural de Anápolis;30.00
Bandeiras;20.00
Batista;20.00
Boa Vista;20.00
Bom Sucesso;20.00
Calixtolândia;20.00
Calixtolândia 2ª Etapa;30.00
Campos Elísios;30.00
Chácaras Americanas;25.00
Chácaras Atibaia;25.00
Chácaras Boa Vista;25.00
Chácaras Colorado;25.00
Chácaras de Recreio Mansões do Planalto;25.00
Chácaras Jonas Duarte;25.00
Chácaras Vale das Antas;25.00
Cidade Jardim;20.00
Cidade Universitária;20.00
Condomínio Residencial Belas Artes;30.00
Condomínio Residencial Grand Trianon;25.00
Condomínio Residencial Villa Lobos;30.00
Condomínio Terras Alpha Anápolis;30.00
Condomínio Vale dos Pássaros;20.00
Conjunto Eldorado;20.00
Conjunto Habitacional Esperança II;25.00
Conjunto Habitacional Filostro Machado Carneiro;25.00
Conjunto Habitacional Vila União;25.00
Conjunto IAPC;20.00
Conjunto Raul Balduino;20.00
Conjunto Villa Verde;20.00
Daia;30.00
Distrito Agroindustrial de Anápolis;30.00
Dom Pedro II;20.00
Eldorado;20.00
Estância Vale das Brisas;30.00
Fazenda Barreiro do Meio;100.00
Frei Eustáquio;20.00
Gran Ville;25.00
Granjas Santos Antônio;30.00
Itamaraty;25.00
Itamaraty 2ª Etapa;25.00
Itamaraty 3 Etapa;25.00
Itamaraty 4ª Etapa;25.00
Jardim Alexandrina;25.00
Jardim Alvorada;20.00
Jardim América;20.00
Jardim Ana Cláudia;20.00
Jardim Ana Paula;20.00
Jardim Arco Verde;25.00
Jardim Arco Verde 2ª Etapa;25.00
Jardim Bandeirante;25.00
Jardim Bela Vista;20.00
Jardim Bom Clima;20.00
Jardim Calixto;20.00
Jardim das Américas 1ª Etapa;25.00
Jardim das Américas 2ª Etapa;25.00
Jardim das Américas 3ª Etapa;25.00
Jardim das Oliveiras;20.00
Jardim das Samambaias;20.00
Jardim Diana;30.00
Jardim dos Ipês;30.00
Jardim Eldorado;25.00
Jardim Esperança;30.00
Jardim Europa;25.00
Jardim Flor de Liz;30.00
Jardim Goiano;20.00
Jardim Gonçalves;20.00
Jardim Ibirapuera;30.00
Jardim Itália;30.00
Jardim Luzitano;30.00
Jardim Nações Unidas;20.00
Jardim Palmares;25.00
Jardim Petrópolis;25.00
Jardim Planalto;30.00
Jardim Privamera 1ª Etapa;30.00
Jardim Primavera 2ª Etapa;30.00
Jardim Progresso;25.00
Jardim Promissão;30.00
Jardim Santa Cecília;30.00
Jardim Santana;20.00
Jardim São Jorge;20.00
Jardim São Paulo;30.00
Jardim Silveira;20.00
Jardim Suíço;20.00
Jardim Tesouro;30.00
Jardim Vera Cruz;30.00
Jibran El Hadj;25.00
JK Nova Capital;20.00
JK Setor Oeste;20.00
Jóquei Club;30.00
Jundiaí;20.00
Lapa;30.00
Las Palmas;30.00
Loteamento Guanabara;30.00
Loteamento Novo Jundiaí;25.00
Loteamento Residencial América;30.00
Loteamento Residencial Verona;30.00
Loteamento Residencial Victor Braga;25.00
Lourdes;25.00
Manoel Domingos;25.00
Maracanã;20.00
Maracananzinho;20.00
Nossa Senhora Aparecida;15.00
Nova Alexandrina;25.00
Nova Vila Jaiara;25.00
Novo Paraíso;20.00
Olhos D Água;20.00
Paraíso;20.00
Parque Brasília;20.00
Parque Brasília 2ª Etapa;20.00
Parque Calixtópolis;20.00
Parque Calixtópolis II;25.00
Parque das Nações;20.00
Parque das Primaveras;20.00
Parque dos Pirineus;25.00
Parque Iracema;25.00
Parque Michel;15.00
Parque Residencial Ander;25.00
Parque Residencial Ander – II Etapa;25.00
Parque Residencial das Flores;25.00
Parque São Conrado;25.00
Parque São Jerônimo;25.00
Parque São João;20.00
Polocentro I;20.00
Polocentro I – 2ª Etapa;20.00
Privê Lírios do Campo;30.00
Recanto do Sol;25.00
Residencial Aldeia dos Sonhos;30.00
Residencial Alfredo Abrahão;25.00
Residencial Alphaville;30.00
Residencial Ana Caroline;30.00
Residencial Anaville;30.00
Residencial Araguaia;25.00
Residencial Araujoville;20.00
Residencial Arco‑Íris;25.00
Residencial Ayrton Senna;25.00
Residencial Bela Vista;20.00
Residencial Boa Esperança;30.00
Residencial Buritis;30.00
Residencial Caminho das Águas;20.00
Residencial Centenário;30.00
Residencial Cerejeiras;25.00
Residencial Cidade Industrial;30.00
Residencial Copacabana;20.00
Residencial do Cerrado;30.00
Residencial do Trabalhador;20.00
Residencial Dom Emanoel;25.00
Residencial Dom Felipe;25.00
Residencial Flamboyant;30.00
Residencial Flor do Cerrado;25.00
Residencial Florença;20.00
Residencial Gabriela;25.00
Residencial Geovanni Braga;20.00
Residencial Ildefonso Limírio;25.00
Residencial Ipanema;30.00
Residencial Itatiaia;20.00
Residencial Itororó;25.00
Residencial Jardins do Lago;25.00
Residencial Leblon;30.00
Residencial Marla Cristina;25.00
Residencial Mônica Braga;25.00
Residencial Monte Sinai;30.00
Residencial Morada Nova;25.00
Residencial Morumbi;20.00
Residencial Nova Aliança;25.00
Residencial Novo Mundo;20.00
Residencial Palmeiras;25.00
Residencial Paris;20.00
Residencial Rio Jordão;20.00
Residencial Roses Garden;25.00
Residencial San Marco;25.00
Residencial Santa Cruz;30.00
Residencial Santo Antônio;30.00
Residencial Santo Expedito;30.00
Residencial São Vicente;30.00
Residencial Shangrilá;25.00
Residencial Sol Nascente;25.00
Residencial Sun Flower;25.00
Residencial Tangará;25.00
Residencial Terezinha Braga;20.00
Residencial Vale do Sol;30.00
Residencial Valência;25.00
Residencial Veneza;30.00
Residencial Vila Feliz;30.00
Residencial Villa Bella;25.00
Residencial Virgínia Correa;20.00
Reverendo Archibald;25.00
Santo André;20.00
Santo Antônio;30.00
Santos Dumont;30.00
São Carlos;20.00
São João;25.00
São José;20.00
São Lourenço;25.00
São Sebastião;25.00
Setor Bougainville;25.00
Setor Central;15.00
Setor Escala;30.00
Setor Industrial Aeroporto;30.00
Setor Industrial Munir Calixto;30.00
Setor Lago dos Buritis;25.00
Setor Residencial das Rosas;25.00
Setor Residencial Jandaia;30.00
Setor Residencial Jandaia II Etapa;30.00
Setor Residencial Pedro Ludovico;20.00
Setor Santa Clara;25.00
Setor Scala II;30.00
Setor Sul;25.00
Setor Sul II Etapa;25.00
Setor Sul III Etapa;25.00
Setor Sul Jamil Miguel;25.00
Setor Summerville;30.00
Setor Tropical;25.00
Sítio de Recreio Jardim Boa Vista;30.00
Sítio de Recreio Recanto Mansões;30.00
Sítio de Recreio Americanos do Brasil;30.00
Sítios de Recreio Estâncias Vila Rica;40.00
Sítios de Recreio Vale das Laranjeiras;30.00
Sítios de Recreio Denise;30.00
Vila Brasil;20.00
Vila Calixto Abrão;20.00
Vila de Lourdes;15.00
Vila Dom Bosco;30.00
Vila Dona Maria;15.00
Vila dos Oficiais;20.00
Vila dos Sargentos;20.00
Vila Esperança;25.00
Vila Fabril;25.00
Vila Formosa;25.00
Vila Goiás;25.00
Vila Góis;15.00
Vila Gonçalves;20.00
Vila Harmonia;25.00
Vila Industrial;30.00
Vila Jaiara;25.00
Vila Jaiara Setor Leste;25.00
Vila Jaiara Setor Norte;25.00
Vila João Luiz de Oliveira;20.00
Vila João XXIII;25.00
Vila Jussara;20.00
Vila Mariana;25.00
Vila Miguel Jorge;20.00
Vila Milmar;20.00
Vila Moreira;20.00
Vila Norte;25.00
Vila Nossa Senhora DAbadia;15.00
Vila Nova Jayara;25.00
Vila Operária;30.00
Vila Popular Munir Calixto;25.00
Vila Residencial Pedro Ludovico;20.00
Vila Rica;25.00
Vila Santa Helena;25.00
Vila Santa Isabel;20.00
Vila Santa Maria;20.00
Vila Santa Maria de Nazareth;20.00
Vila Santa Rita;20.00
Vila Santa Rosa;20.00
Vila Santa Terezinha;20.00
Vila Santana;20.00
Vila São João;20.00
Vila São Joaquim;20.00
Vila São Jorge;20.00
Vila São José;20.00
Vila São Vicente;30.00
Vila Sul;30.00
Vila União;25.00
Víviam Parque;25.00
Víviam Parque 2ª Etapa;25.00
